"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile","Agency_Size","Car_Emissions","Emissions_Avoided"
20008,"MTA New York City Transit","Brooklyn","NY",2632003044,9591253658,20008,"Demand Response","MTA New York City Transit",0,0,0,19665,0,0,0,0,3823315,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",440496,74936974,0,0,0,0,0,75377470,0.0286388232611786,0.00785897992981639,"Large",7519542867.872,7444165397.872
20008,"MTA New York City Transit","Brooklyn","NY",2632003044,9591253658,20008,"Heavy Rail","MTA New York City Transit",0,0,0,0,0,1546269600,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,0,0,0,0,0,807152731200,807152731200,306.668616147695,84.1550812835358,"Large",7519542867.872,-799633188332.128
20008,"MTA New York City Transit","Brooklyn","NY",2632003044,9591253658,20008,"Motor Bus","MTA New York City Transit",0,0,4740687,24981101,638087,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",559576662.4,0,55466037.9,0,0,0,0,615042700.3,0.233678567242569,0.0641253711173614,"Large",7519542867.872,6904500167.572
20008,"MTA New York City Transit","Brooklyn","NY",2632003044,9591253658,20008,"Rapid Bus","MTA New York City Transit",0,0,0,1085753,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",24320867.2,0,0,0,0,0,0,24320867.2,0.0092404403769375,0.00253573391625548,"Large",7519542867.872,7495222000.672
20010,"Dutchess County, dba: Dutchess County Public Transit","Poughkeepsie","NY",827886,3978437,20010,"Demand Response","Dutchess County",0,0,0,42979,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",962729.6,0,0,0,0,0,0,962729.6,1.16287701446818,0.241986890831751,"Small",3119094.608,2156365.008
20010,"Dutchess County, dba: Dutchess County Public Transit","Poughkeepsie","NY",827886,3978437,20010,"Motor Bus","Dutchess County",0,0,0,258781,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",5796694.4,0,0,0,0,0,0,5796694.4,7.00180266365176,1.4570280740904,"Small",3119094.608,-2677599.792
20018,"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY",6685285,21264729,20018,"Demand Response","Central New York Regional Transportation Authority",0,0,0,0,0,0,0,0,222139,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,4353924.4,0,0,0,0,0,4353924.4,0.6512698261929,0.20474864269373,"Medium",16671547.536,12317623.136
20018,"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority","Syracuse","NY",6685285,21264729,20018,"Motor Bus","Central New York Regional Transportation Authority",0,0,723405,318038,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",7124051.2,0,8463838.5,0,0,0,0,15587889.7,2.3316716789187,0.733039659240426,"Medium",16671547.536,1083657.836
20071,"Town of Huntington, dba: Huntington Area Rapid Transit","Huntington","NY",94877,521015,20071,"Demand Response","Town of Huntington",0,0,0,0,0,0,0,0,39946,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,782941.6,0,0,0,0,0,782941.6,8.25217492121378,1.50272372196578,"Small",408475.76,-374465.84
20071,"Town of Huntington, dba: Huntington Area Rapid Transit","Huntington","NY",94877,521015,20071,"Motor Bus","Town of Huntington",0,0,0,12491,0,0,0,0,71942,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",279798.4,1410063.2,0,0,0,0,0,1689861.6,17.8110775003425,3.243402973043,"Small",408475.76,-1281385.84
