"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile"
40172,"Western Piedmont Regional Transit Authority , dba: Greenway Public Transportation","Conover","NC",124319,1139015,40172,"Motor Bus","Western Piedmont Regional Transit Authority",0,0,0,33484,0,0,0,0,15487,0,0,0,0,639,"Natural gas",106.1,126553394,"NC",750041.6,303545.2,0,0,0,0,0,1053586.8,8.47486546706457,0.924998178250506
40173,"Piedmont Authority for Regional Transportation","Greensboro","NC",367508,9660890,40173,"Cable Car","Piedmont Authority for Regional Transportation",0,0,0,177216,0,0,0,0,58590,0,0,0,0,639,"Natural gas",106.1,126553394,"NC",3969638.4,1148364,0,0,0,0,0,5118002.4,13.9262339867431,0.52976510445725
40173,"Piedmont Authority for Regional Transportation","Greensboro","NC",367508,9660890,40173,"Vanpool","Piedmont Authority for Regional Transportation",0,0,0,0,0,0,0,0,64440,0,0,0,0,639,"Natural gas",106.1,126553394,"NC",0,1263024,0,0,0,0,0,1263024,3.43672518693471,0.13073578107193
40175,"Puerto Rico Maritime Transport Authority","San Juan","PR",1385794,17869630,40175,"Unknown","Puerto Rico Maritime Transport Authority",0,0,0,1941869,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,43497865.6,0,0,0,0,0,NA,43497865.6,31.3884066462981,2.4341783013974
40178,"The Transportation Management Association Group, dba: The TMA Group","Franklin","TN",78792,3623502,40178,"Vanpool","The Transportation Management Association Group",0,0,0,0,0,0,0,0,41220,0,0,0,0,715,"Nuclear",106.9,77791204,"TN",0,807912,0,0,0,0,0,807912,10.2537313432836,0.222964413984041
40180,"University of Georgia, dba: Transportation and Parking Services","Athens","GA",2941019,3512275,40180,"Demand Response","University of Georgia",0,0,0,0,1290,0,0,0,3424,0,0,0,0,733,"Natural gas",110.6,129221513,"GA",0,67110.4,0,0,0,0,0,67110.4,0.0228187577162881,0.0191073876618431
40180,"University of Georgia, dba: Transportation and Parking Services","Athens","GA",2941019,3512275,40180,"Motor Bus","University of Georgia",0,0,0,72870,789143,0,0,0,0,0,0,0,0,733,"Natural gas",110.6,129221513,"GA",1632288,0,0,0,0,0,0,1632288,0.555007635108784,0.464738097102305
40185,"Bay County Transportation Planning Organization, dba: Bayway","Panama City","FL",398400,2792272,40185,"Demand Response","Bay County Transportation Planning Organization",0,0,0,0,0,0,0,0,66859,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",0,1310436.4,0,0,0,0,0,1310436.4,3.28924799196787,0.469308290882837
40185,"Bay County Transportation Planning Organization, dba: Bayway","Panama City","FL",398400,2792272,40185,"Motor Bus","Bay County Transportation Planning Organization",0,0,0,90870,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",2035488,0,0,0,0,0,0,2035488,5.10915662650602,0.728971962616822
40191,"Transit Authority of Central Kentucky, dba: TACK","Elizabethtown","KY",98435,1683699,40191,"Demand Response","Transit Authority of Central Kentucky",0,0,0,0,8210,0,0,0,118290,0,0,0,0,1741,"Coal",99.6,63217080,"KY",0,2318484,0,0,0,0,0,2318484,23.553451516229,1.37701810121643
40191,"Transit Authority of Central Kentucky, dba: TACK","Elizabethtown","KY",98435,1683699,40191,"Vanpool","Transit Authority of Central Kentucky",0,0,0,0,0,0,0,0,8472,0,0,0,0,1741,"Coal",99.6,63217080,"KY",0,166051.2,0,0,0,0,0,166051.2,1.68691217554732,0.0986228536098198
40192,"Martin County","Stuart","FL",107491,863744,40192,"Cable Car","Martin County",0,0,0,21746,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",487110.4,0,0,0,0,0,0,487110.4,4.53163892791024,0.563952282157676
